Statement, Link, Date, Source, Label
President Joe Biden is “in Gitmo.”,https://www.politifact.com/factchecks/2023/mar/09/facebook-posts/no-president-joe-biden-isnt-in-the-guantanamo-bay/,March 9^ 2023,Facebook posts,pants-fire
Energy Secretary Jennifer Granholm met "with the radical green energy group behind the gas stove ban^" which "has ties to the" Chinese Communist Party.,https://www.politifact.com/factchecks/2023/mar/09/nicholas-langworthy/claim-about-energy-department-gas-stoves-china-exa/,March 9^ 2023,Nicholas Langworthy,barely-true
The 2020 election could not have been fair because “Los Angeles County agreed^ during litigation^ that there were 1.2 million ineligible voters after the election.”,https://www.politifact.com/factchecks/2023/mar/09/donald-trump/swipe-fox-news-trump-misleads-about-los-angeles-co/,March 9^ 2023,Donald Trump,false
"$1 of every $3 (Ron DeSantis) spends comes from the federal government.",https://www.politifact.com/factchecks/2023/mar/09/fentrice-driskell/1-every-3-ron-desantis-spends-federal-government-y/,March 9^ 2023,Fentrice Driskell,true
“Elon Musk to acquire Facebook soon.”,https://www.politifact.com/factchecks/2023/mar/09/blog-posting/no-elon-musk-isnt-poised-to-buy-facebook/,March 9^ 2023,Bloggers,false
Because of daylight saving time^ “NO alarm set for the 2:00 a.m. hour will go off” on March 12.,https://www.politifact.com/factchecks/2023/mar/09/chain-email/waking-sunrise-march-12-daylight-saving-time-could/,March 9^ 2023,Chain email,half-true
“Ashli Babbitt is alive and well.”,https://www.politifact.com/factchecks/2023/mar/09/instagram-posts/ashli-babbitt-died-in-fatal-us-capitol-shooting-ja/,March 9^ 2023,Instagram posts,false
Video shows Elon Musk endorsing “an anti-aging remedy.”,https://www.politifact.com/factchecks/2023/mar/09/viral-image/that-video-is-altered-elon-musk-isnt-endorsing-an/,March 9^ 2023,Viral image,false
Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.,https://www.politifact.com/factchecks/2023/mar/09/facebook-posts/alexandria-ocasio-cortez-still-tweeting-despite-ba/,March 9^ 2023,Facebook posts,pants-fire
Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,https://www.politifact.com/factchecks/2023/mar/09/blog-posting/no-vladimir-putin-didnt-order-covid-19-vaccines-to/,March 9^ 2023,Bloggers,pants-fire
Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,https://www.politifact.com/factchecks/2023/mar/09/viral-image/bill-gates-didnt-declare-himself-a-valid-pharmaceu/,March 9^ 2023,Viral image,false
“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.,https://www.politifact.com/factchecks/2023/mar/08/facebook-posts/video-doesnt-show-us-rep-chip-roy-grilling-vice-pr/,March 8^ 2023,Facebook posts,pants-fire
“The January 6 committee disbanded immediately after the new footage was released.”,https://www.politifact.com/factchecks/2023/mar/08/facebook-posts/no-tucker-carlsons-airing-of-jan-6-footage-wasnt-c/,March 8^ 2023,Facebook posts,false
New York City Mayor Eric Adams proposes to “ban chocolate milk.”,https://www.politifact.com/factchecks/2023/mar/08/elise-stefanik/does-eric-adams-want-ban-chocolate-milk-nyc-school/,March 8^ 2023,Elise Stefanik,mostly-true
“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”,https://www.politifact.com/factchecks/2023/mar/08/stanley-litow/strong-support-for-notion-that-a-bachelors-degree/,March 8^ 2023,Stanley Litow,mostly-true
“We banned transgender” people from serving in the military.,https://www.politifact.com/factchecks/2023/mar/08/donald-trump/donald-trump-issued-trans-military-ban-his-adminis/,March 8^ 2023,Donald Trump,mostly-true
"The Biden administration is floating a new” climate strategy: Don't leave your house.",https://www.politifact.com/factchecks/2023/mar/08/washington-free-beacon/joe-bidens-climate-plan-backs-public-transit-and-t/,March 8^ 2023,Washington Free Beacon,barely-true
“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,https://www.politifact.com/factchecks/2023/mar/08/instagram-posts/bill-gates-isnt-wanted-for-premeditated-murder-in/,March 8^ 2023,Instagram posts,pants-fire
U.S. Sen. Josh Hawley made U.S. Attorney General Merrick Garland cry at a committee hearing.,https://www.politifact.com/factchecks/2023/mar/08/facebook-posts/no-us-sen-josh-hawley-didnt-make-us-attorney-gener/,March 8^ 2023,Facebook posts,false
“The youth suicide rate has increased exponentially alongside trans affirmation. Trans affirmation causes the suicide rate^ not the other way around.”,https://www.politifact.com/factchecks/2023/mar/08/matt-walsh/gender-affirmation-is-linked-to-improved-mental-he/,March 8^ 2023,Matt Walsh,barely-true
Statement, Link, Date, Source, Label
Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”,https://www.politifact.com/factchecks/2023/mar/08/tucker-carlson/evidence-rebuts-tucker-carlsons-claim-about-capito/,March 7^ 2023,Tucker Carlson,pants-fire
“The five people that died in that plane crash … were supposed to go to Ohio to test the water^ the soil and the air quality in East Palestine.”,https://www.politifact.com/factchecks/2023/mar/07/facebook-posts/environmental-team-killed-plane-crash-was-en-route/,March 7^ 2023,Facebook posts,false
The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”,https://www.politifact.com/factchecks/2023/mar/07/facebook-posts/uks-borders-remain-open-they-werent-closed-to-keep/,March 7^ 2023,Facebook posts,pants-fire
“Tammy Baldwin wants to take away” Medicare and Social Security.,https://www.politifact.com/factchecks/2023/mar/07/national-republican-senatorial-committee/no-tammy-baldwin-isnt-trying-to-take-away-social-s/,March 7^ 2023,National Republican Senatorial Committee,false
“The moon is a habitable place.”,https://www.politifact.com/factchecks/2023/mar/06/facebook-posts/is-the-moon-habitable-for-people-not-with-its-lack/,March 6^ 2023,Facebook posts,pants-fire
“Breaking: John Fetterman RESIGNATION Announcement.”,https://www.politifact.com/factchecks/2023/mar/06/instagram-posts/a-social-post-says-pennsylvania-sen-john-fetterman/,March 6^ 2023,Instagram posts,false
Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,https://www.politifact.com/factchecks/2023/mar/03/marjorie-taylor-greene/marjorie-taylor-greene-distorts-zelenskyys-comment/,March 3^ 2023,Marjorie Taylor Greene,false
In Ohio^ “there are 75^000 acres of farmland^ fertile farmland^ that are all now being poured down with acid rain.”,https://www.politifact.com/factchecks/2023/mar/03/facebook-posts/claim-acid-rain-fell-over-ohio-farmlands-lacks-evi/,March 3^ 2023,Facebook posts,false
“Muslims by the millions are converting to Christianity.”,https://www.politifact.com/factchecks/2023/mar/03/facebook-posts/millions-of-muslims-converting-to-christianity-ava/,March 3^ 2023,Facebook posts,false
Digital IDs were given to residents in East Palestine^ Ohio^ “to track long term health problems like difficulty breathing” before the Feb. 3 train derailment.,https://www.politifact.com/factchecks/2023/mar/02/instagram-posts/medical-ids-east-palestine-ohio-do-not-track-resid/,March 2^ 2023,Instagram posts,false
The Justice Department has been “calling parents that are concerned about what their kids are being taught^ they are labeling them terrorists.”,https://www.politifact.com/factchecks/2023/mar/02/kat-cammack/at-cpac-florida-us-rep-repeats-false-claim-about-j/,March 2^ 2023,Kat Cammack,false
Sen. Marco Rubio signed a 2021 letter that “supports waivers that would reduce visual track inspections.”,https://www.politifact.com/factchecks/2023/mar/02/pete-buttigieg/marco-rubio-and-pete-buttigieg-debated-over-train/,March 2^ 2023,Pete Buttigieg,barely-true
Photo of electric charging station “powered by diesel generator” is emblematic of the electric vehicle movement.,https://www.politifact.com/factchecks/2023/feb/28/facebook-posts/gas-powered-generators-not-common-way-recharge-ele/,uary 28^ 2023,Facebook posts,barely-true
“Official govt docs expose Michelle Obama’s 14 year history as a man.”,https://www.politifact.com/factchecks/2023/feb/28/facebook-posts/michelle-obama-was-never-man/,uary 28^ 2023,Facebook posts,pants-fire
"Woody Harrelson’s 60 seconds in the middle of his monologue was cut out of the edits released after the show.”,https://www.politifact.com/factchecks/2023/feb/28/instagram-posts/woody-harrelsons-snl-pandemic-monologue-not-select/,uary 28^ 2023,Instagram posts,false
“BREAKING Trump preps Marines to stop presidential coup.”,https://www.politifact.com/factchecks/2023/feb/28/facebook-posts/donald-trump-isnt-commander-in-chief-anymore-hes-n/,uary 28^ 2023,Facebook posts,false
Video shows President Joe Biden recalling an alien encounter.,https://www.politifact.com/factchecks/2023/feb/28/facebook-posts/that-video-of-president-joe-biden-discussing-alien/,uary 28^ 2023,Facebook posts,false
Rifles “were involved in 297 deaths” in the U.S. in 2022 and “constipation killed 2^167.”,https://www.politifact.com/factchecks/2023/feb/28/instagram-posts/nothing-back-claim-constipation-killed-seven-times/,uary 28^ 2023,Instagram posts,false
Drinking or using tap water treated with chlorine is dangerous because “chlorine is a poison.”,https://www.politifact.com/factchecks/2023/feb/28/facebook-posts/governments-regulate-chlorine-levels-water-keep-it/,uary 28^ 2023,Facebook posts,false
Joe Biden described America as “the foothills of the Himalayas with Xi Jinping.”,https://www.politifact.com/factchecks/2023/feb/28/viral-image/video-misleads-on-the-single-word-president-joe-bi/,uary 28^ 2023,Viral image,false
Kid Rock tweeted^ “Some people wouldn’t recognize tyranny if it slapped a mask on their face^ made them stand 6 feet apart^ and forced them to take a vaccine for a virus with a 99.8% survival rate.”,https://www.politifact.com/factchecks/2023/feb/27/instagram-posts/kid-rock-didnt-tweet-this-about-tyranny-and-face-m/,uary 27^ 2023,Instagram posts,false
The train that derailed in Ohio was carrying “over 300^000 gallons of a chemical that was banned in 1974.”,https://www.politifact.com/factchecks/2023/feb/27/facebook-posts/derailed-train-carried-vinyl-chloride-which-banned/,uary 27^ 2023,Facebook posts,barely-true
Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,https://www.politifact.com/factchecks/2023/feb/27/viral-image/the-war-in-ukraine-isnt-fake-and-these-photos-dont/,uary 27^ 2023,Viral image,pants-fire
Former President Donald Trump “was the 1st president in U.S. history to acknowledge that children are being sold for sex in the U.S.” while President Joe Biden “rescinded Trump’s executive order that helped combat child sex trafficking.”,https://www.politifact.com/factchecks/2023/feb/27/viral-image/social-media-posts-distort-trump-biden-child-sex-t/,uary 27^ 2023,Viral image,false
Says Elizabeth Warren said^ “Allowing Republicans to vote could threaten the integrity of an election.”,https://www.politifact.com/factchecks/2023/feb/27/viral-image/sen-elizabeth-warren-didnt-say-republicans-shouldn/,uary 27^ 2023,Viral image,false
“The whole green energy agenda involves more than doubling 10 types of mining.”,https://www.politifact.com/factchecks/2023/feb/27/alex-epstein/reaching-net-zero-emissions-2050-would-require-maj/,uary 27^ 2023,Alex Epstein,mostly-true
53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,https://www.politifact.com/factchecks/2023/feb/25/elise-stefanik/poll-on-voters-opinion-of-biden-laptop-story-needs/,uary 25^ 2023,Elise Stefanik,false
"The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”,https://www.politifact.com/factchecks/2023/feb/24/instagram-posts/claim-twists-un-resolution-smart-city-concept-and/,uary 24^ 2023,Instagram posts,false
Apple will pay customers $700 for a slowed-down iPhone.,https://www.politifact.com/factchecks/2023/feb/24/instagram-posts/think-a-700-payout-from-apple-for-a-slow-iphone-se/,uary 24^ 2023,Instagram posts,false
President Joe Biden was “shot” in a “behind-the-scenes execution.”,https://www.politifact.com/factchecks/2023/feb/23/facebook-posts/president-joe-biden-is-alive-and-traveling-he-wasn/,uary 23^ 2023,Facebook posts,pants-fire
Statement, Link, Date, Source, Label
“President Joe Biden admits to faking the election.”,https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/no-president-joe-biden-didnt-admit-the-2020-presid/,uary 23^ 2023,Instagram posts,false
In Australia^ a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.,https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/covid-19-vaccines-did-not-cause-17-increase-deaths/,uary 23^ 2023,Instagram posts,false
“Clinton aide found dead^ tied to tree in apparent murder.”,https://www.politifact.com/factchecks/2023/feb/23/facebook-posts/former-clinton-white-house-aide-wasnt-murdered/,uary 23^ 2023,Facebook posts,false
“Every single one” of former President Barack Obama’s Medal of Freedom recipients in this video “was on Epstein’s flight logs.”,https://www.politifact.com/factchecks/2023/feb/23/viral-image/did-these-medal-of-freedom-recipients-fly-on-jeffr/,uary 23^ 2023,Viral image,false
Student ID cards are a “source of fraud” at the polls.,https://www.politifact.com/factchecks/2023/feb/23/tina-lambert/republican-lawmaker-says-student-ids-are-source-vo/,uary 23^ 2023,Tina Lambert,false
"George Soros has endorsed (Ron) DeSantis for 2024.",https://www.politifact.com/factchecks/2023/feb/23/gateway-pundit/did-george-soros-endorse-ron-desantis-no/,uary 23^ 2023,The Gateway Pundit,false
“Joe Biden changes the name of Black History Month.”,https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/no-president-joe-biden-didnt-change-the-name-of-bl/,uary 23^ 2023,Instagram posts,false
Big-box stores are refunding and crediting customers for fraud and discrimination.,https://www.politifact.com/factchecks/2023/feb/23/facebook-posts/social-media-scams-lure-people-false-promises-big/,uary 23^ 2023,Facebook posts,false
“Putin decimates another adrenochrome warehouse in Ukraine.”,https://www.politifact.com/factchecks/2023/feb/23/blog-posting/claims-that-vladimir-putin-destroyed-an-adrenochro/,uary 23^ 2023,Bloggers,pants-fire
Audio is a “record of Biden trying to cover up his stolen documents crime.”,https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/purported-voicemail-from-president-joe-biden-about/,uary 23^ 2023,Instagram posts,false
Andrew Tate was released from prison and “proven not guilty.”,https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/social-media-posts-say-online-influencer-andrew-ta/,uary 23^ 2023,Instagram posts,false
Winston Churchill didn’t mention the Holocaust in his memoirs because it didn’t happen.,https://www.politifact.com/factchecks/2023/feb/23/instagram-posts/winston-churchills-world-war-ii-memoirs-arent-evid/,uary 23^ 2023,Instagram posts,pants-fire
Canada has only “had 11 school shooting deaths … in history.”,https://www.politifact.com/factchecks/2023/feb/23/viral-image/how-do-you-count-school-shootings-canada-depends-h/,uary 23^ 2023,Viral image,half-true
Photo shows “what railways in Ohio look like while we send $40 billion to Ukraine.”,https://www.politifact.com/factchecks/2023/feb/23/facebook-posts/photo-misleadingly-claims-show-dilapidated-ohio-ra/,uary 23^ 2023,Facebook posts,false
“Because the Covid shots are still manufactured under the Emergency Use Authorization^ they can change up to 49% of the ingredients without FDA approval.",https://www.politifact.com/factchecks/2023/feb/22/instagram-posts/fda-approval-required-covid-19-vaccine-manufacture/,uary 22^ 2023,Instagram posts,false
“Leaked audio recording of Biden and Zelenskyy talking in private.”,https://www.politifact.com/factchecks/2023/feb/22/viral-image/dont-fall-for-this-promise-of-a-leaked-recording-o/,uary 22^ 2023,Viral image,false
A photo shows President Joe Biden and Ukrainian President Volodymyr Zelenskyy holding hands.,https://www.politifact.com/factchecks/2023/feb/22/viral-image/photo-biden-zelenskyy-holding-hands-was-altered/,uary 22^ 2023,Viral image,false
The U.S. State Department has started a special immigrants visa “evacuation operation.”,https://www.politifact.com/factchecks/2023/feb/22/facebook-posts/that-special-immigrant-visa-and-evacuation-program/,uary 22^ 2023,Facebook posts,false
“I never claimed to be Jewish.”,https://www.politifact.com/factchecks/2023/feb/22/george-santos/george-santos-said-he-never-claimed-to-be-jewish-b/,uary 22^ 2023,George Santos,pants-fire
"Ron DeSantis voted to cut $473 billion from Medicare.",https://www.politifact.com/factchecks/2023/feb/22/desantis-watch/house-ron-desantis-voted-rein-medicare-spending-cu/,uary 22^ 2023,DeSantis Watch,half-true
Richard Belzer died because of a COVID-19 vaccine.,https://www.politifact.com/factchecks/2023/feb/22/facebook-posts/evidence-doesnt-support-claim-that-richard-belzer/,uary 22^ 2023,Facebook posts,false
Brown v. Board of Education “was never about sending Black children to white schools. It was about parents being able to decide where to send their children to school.”,https://www.politifact.com/factchecks/2023/feb/22/winsome-sears/earle-sears-says-brown-v-board-decision-was-not-ab/,uary 22^ 2023,Winsome Earle-Sears,false
"Biden admin negotiates deal to give WHO authority over US pandemic policies.”,https://www.politifact.com/factchecks/2023/feb/21/instagram-posts/who-pandemic-accord-doesnt-replace-us-sovereignty/,uary 21^ 2023,Instagram posts,false
“One man was actually killed” during 2020 protests of police brutality in Raleigh,https://www.politifact.com/factchecks/2023/feb/21/tim-moore/north-carolina-house-speaker-says-someone-died-ral/,uary 21^ 2023,Tim Moore,false
Video shows “the earthquake in Turkey.”,https://www.politifact.com/factchecks/2023/feb/21/facebook-posts/video-shows-building-saudi-arabia-not-collateral-e/,uary 21^ 2023,Facebook posts,false
“Mickey Mouse to be replaced as official Disney mascot.”,https://www.politifact.com/factchecks/2023/feb/20/instagram-posts/m-i-c-you-later-no-mickey-mouse-will-stay-disney-m/,uary 20^ 2023,Instagram posts,false
The dog dewormer fenbendazole can cure cancer in humans.,https://www.politifact.com/factchecks/2023/feb/20/facebook-posts/no-proof-dog-deworming-drug-fenbendazole-can-cure/,uary 20^ 2023,Facebook posts,false
The “average tax” for billionaires is “about 3%^” which is “a lower tax than a schoolteacher or a firefighter.",https://www.politifact.com/factchecks/2023/feb/20/joe-biden/in-push-for-billionaire-tax-joe-biden-gets-his-fig/,uary 20^ 2023,Joe Biden,false
“Seven ecological disasters in less than 2 weeks. … We are under attack.”,https://www.politifact.com/factchecks/2023/feb/18/facebook-posts/no-evidence-foul-play-ohio-train-derailment-other/,uary 17^ 2023,Facebook posts,false
KFC tweeted an image of a chicken drumstick for Black History Month.,https://www.politifact.com/factchecks/2023/feb/17/viral-image/no-kfc-didnt-tweet-a-chicken-drumstick-for-black-h/,uary 17^ 2023,Viral image,false
Statement, Link, Date, Source, Label
A photo shows birds that “dropped dead” in Kentucky after the train derailment in Ohio.,https://www.politifact.com/factchecks/2023/feb/17/facebook-posts/these-birds-didnt-die-because-of-the-ohio-train-de/,uary 17^ 2023,Facebook posts,false
“Criminal caught after cutting off 37 man buns.”,https://www.politifact.com/factchecks/2023/feb/17/viral-image/no-man-buns-were-harmed-fake-news-about-vigilante/,uary 17^ 2023,Viral image,false
The city of Atlanta is banning the word “women.”,https://www.politifact.com/factchecks/2023/feb/17/viral-image/atlanta-isnt-banning-the-word-women-despite-social/,uary 17^ 2023,Viral image,false
“Obama imposed stricter rules on trains carrying toxins. Trump killed them.”,https://www.politifact.com/factchecks/2023/feb/17/occupy-democrats/obama-era-safety-rule-high-hazard-trains-was-repea/,uary 17^ 2023,Occupy Democrats,mostly-true
At the World Economic Forum^ Moderna CEO Stéphane Bancel admitted that his company produced 100^000 doses of COVID-19 vaccines in 2019^ before the pandemic started.,https://www.politifact.com/factchecks/2023/feb/17/instagram-posts/moderna-ceo-didnt-admit-company-produced-100000-co/,uary 17^ 2023,Instagram posts,false
“No administration has ever looked less like America^ just by the numbers^ than the Biden administration.”,https://www.politifact.com/factchecks/2023/feb/17/tucker-carlson/tucker-carlson-wrong-diversity-makes-biden-adminis/,uary 17^ 2023,Tucker Carlson,pants-fire
In Australia^ "All joggers must wear a helmet.”,https://www.politifact.com/factchecks/2023/feb/16/facebook-posts/sign-about-australia-law-requiring-helmet-jog-part/,uary 16^ 2023,Facebook posts,false
